iterations,fitness,time,fevals
0,499.0,9.24920000001e-05,11
10,499.0,0.00012949,21
20,499.0,0.000162432,31
30,500.0,0.000196205,41
40,500.0,0.000225089,51
50,500.0,0.000253403,61
60,500.0,0.000273408,71
70,504.0,0.000298037,81
80,504.0,0.000319457,91
90,508.0,0.000339841,101
100,510.0,0.000362526,111
110,512.0,0.000383072,121
120,512.0,0.000407592,131
130,516.0,0.000429975,141
140,516.0,0.000451363,151
150,522.0,0.000472029,161
160,526.0,0.000495665,171
170,528.0,0.000518206,181
180,538.0,0.000537319,191
190,540.0,0.000558091,201
200,542.0,0.000577844,211
210,544.0,0.000599645,221
220,546.0,0.000620639,231
230,548.0,0.000654998,241
240,548.0,0.000676222,251
250,550.0,0.000715929,261
260,552.0,0.000746236,271
270,554.0,0.000771665,281
280,556.0,0.000794657,291
290,558.0,0.00081716,301
300,558.0,0.000853849,311
310,558.0,0.000872018,321
320,560.0,0.000889209,331
330,562.0,0.000906486,341
340,562.0,0.000924128,351
350,564.0,0.000943407,361
360,564.0,0.000963545,371
370,564.0,0.000987153,381
380,564.0,0.001010259,391
390,568.0,0.001031403,401
400,570.0,0.001059484,411
410,570.0,0.001086282,421
420,572.0,0.001128689,431
430,574.0,0.001165439,441
440,576.0,0.001206397,451
450,576.0,0.001272421,461
460,576.0,0.001313117,471
470,580.0,0.001355514,481
480,582.0,0.001394019,491
490,586.0,0.001427212,501
500,588.0,0.001460508,511
510,588.0,0.001493372,521
520,590.0,0.001527446,531
530,590.0,0.001561484,541
540,590.0,0.001598669,551
550,590.0,0.001636351,561
560,590.0,0.001716279,571
570,592.0,0.001754144,581
580,594.0,0.001790592,591
590,594.0,0.001829857,601
600,594.0,0.001868086,611
610,598.0,0.001915732,621
620,602.0,0.001951917,631
630,602.0,0.001989015,641
640,604.0,0.002040212,651
650,606.0,0.002077057,661
660,610.0,0.002112699,671
670,614.0,0.002150536,681
680,614.0,0.00219028,691
690,614.0,0.00222108,701
700,616.0,0.002255579,711
710,618.0,0.002293564,721
720,618.0,0.002331769,731
730,620.0,0.002367746,741
740,622.0,0.002411133,751
750,624.0,0.002452908,761
760,624.0,0.002492692,771
770,624.0,0.00253932,781
780,624.0,0.002635974,791
790,624.0,0.002686731,801
800,624.0,0.002738892,811
810,626.0,0.002875782,821
820,628.0,0.002927575,831
830,628.0,0.002985598,841
840,628.0,0.003034351,851
850,630.0,0.00308122,861
860,632.0,0.003124952,871
870,638.0,0.003160637,881
880,640.0,0.003195605,891
890,640.0,0.003232928,901
900,642.0,0.00326738,911
910,646.0,0.003300976,921
920,648.0,0.003334364,931
930,648.0,0.003377769,941
940,648.0,0.003415239,951
950,650.0,0.003451779,961
960,650.0,0.003490096,971
970,654.0,0.003523654,981
980,654.0,0.003559828,991
990,656.0,0.003591513,1001
1000,658.0,0.003622528,1011
1010,658.0,0.003655977,1021
1020,660.0,0.003688807,1031
1030,660.0,0.003741803,1041
1040,660.0,0.003775814,1051
1050,662.0,0.003808494,1061
1060,663.0,0.003835515,1071
1070,663.0,0.003862515,1081
1080,665.0,0.003888542,1091
1090,665.0,0.003914696,1101
1100,665.0,0.00396211,1111
1110,673.0,0.003985491,1121
1120,675.0,0.0040111,1131
1130,677.0,0.004036063,1141
1140,679.0,0.004061904,1151
1150,679.0,0.004088597,1161
1160,679.0,0.004114975,1171
1170,679.0,0.00414124,1181
1180,681.0,0.004166787,1191
1190,683.0,0.004191914,1201
1200,685.0,0.004217103,1211
1210,687.0,0.004241872,1221
1220,687.0,0.004268025,1231
1230,689.0,0.004331879,1241
1240,693.0,0.004362047,1251
1250,693.0,0.00438854,1261
1260,693.0,0.004427661,1271
1270,693.0,0.004455188,1281
1280,693.0,0.004484795,1291
1290,695.0,0.004511295,1301
1300,695.0,0.004538522,1311
1310,695.0,0.004564745,1321
1320,695.0,0.004605555,1331
1330,697.0,0.004643829,1341
1340,699.0,0.004669586,1351
1350,701.0,0.004695177,1361
1360,701.0,0.004721215,1371
1370,701.0,0.004747367,1381
1380,703.0,0.004774207,1391
1390,703.0,0.004801386,1401
1400,703.0,0.004837849,1411
1410,703.0,0.004866535,1421
1420,705.0,0.004896028,1431
1430,707.0,0.004923433,1441
1440,709.0,0.004949841,1451
1450,709.0,0.004976528,1461
1460,711.0,0.005002198,1471
1470,713.0,0.005031931,1481
1480,713.0,0.005070906,1491
1490,713.0,0.005098088,1501
1500,715.0,0.005123496,1511
1510,715.0,0.005151027,1521
1520,715.0,0.005178673,1531
1530,715.0,0.005204844,1541
1540,717.0,0.005232526,1551
1550,717.0,0.005258793,1561
1560,719.0,0.005284715,1571
