,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,3.7676998138427735,0.9953526279042765,0.30740818977355955,0.02885266395061053,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.6564896041997652,0.6621000360725442,0.6748618272763762,0.6643251922067496,0.6925000771914658,0.670043789357959,0.012702880036039123,371,0.6802798513304863,0.676990189064649,0.7004696150138257,0.6815445436719834,0.6739879849369131,0.6826544368035715,0.009289156947760573
1,4.923710536956787,0.9292112003949664,0.24155068397521973,0.041555780938580575,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.7065076404718597,0.7061123774876624,0.7076450427640718,0.7161978571649118,0.7322228054466299,0.7137291670776745,0.009950431317583932,279,0.7290223510113237,0.7096037808112268,0.72620078471216,0.7102770738202858,0.7206873062513349,0.7191582593212662,0.007992483578553386
2,5.786330842971802,1.6477001796195674,0.28306260108947756,0.01880820054310426,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.7025972231815985,0.7201000821226006,0.704364405471331,0.73850619075555,0.7138898323401366,0.71588666718872,0.012979765802150248,239,0.7192622407858384,0.7256385056931368,0.7149328145535434,0.7235881242531474,0.71519403249301,0.7197231435557352,0.004326710421070782
3,4.483068799972534,0.6102043817771878,0.2800882816314697,0.015060324751889733,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.6951256015288619,0.7193556062106177,0.6798483959613423,0.6801648809707598,0.7123768796121901,0.697384870419604,0.016226703633550783,355,0.7278991398269055,0.7145453800924487,0.6805266115174501,0.6802182492721496,0.713117277714598,0.7032613316847104,0.01938732657598543
4,6.320724058151245,1.64476758715319,0.2731628894805908,0.009315150122260148,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.7104871328467378,0.7225906226735128,0.7062247197949792,0.7223191403958379,0.7286256831444716,0.7180478372340392,0.008337356130816804,201,0.7318119518534311,0.7186318647039979,0.7178201627536892,0.7192537345025121,0.7465387420359797,0.7268112911699219,0.01112689530133249
5,8.268342971801758,1.355668223112078,0.28585352897644045,0.028981051556144534,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.7140253121810075,0.7354846384686821,0.7105474418748261,0.7198258560533548,0.73616728934449,0.723211766948318,0.010721223682791289,117,0.7475643684556629,0.7485859293892072,0.731010466035895,0.7360144973551083,0.7415881088590885,0.7409526740189925,0.006717409569911832
6,7.1716578006744385,1.586637922327215,0.28375897407531736,0.020775492218438968,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.7183540174836714,0.7347401625566992,0.7148392873683884,0.7259780158705654,0.7256924074474325,0.7239235991033266,0.0068997719246571216,113,0.7632223611281733,0.7450789957340618,0.7148794164112214,0.7324575075863847,0.7420032673890328,0.7395283096497748,0.015848708382601103
7,6.572879981994629,2.352758022626583,0.2700958251953125,0.019799442992614758,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.7208215330063781,0.7132808362690246,0.7367385061907554,0.728154815203631,0.7059082347855621,0.7209765642527745,0.010824031560145086,161,0.7489193036716938,0.737818710872482,0.7384597474219761,0.7181352598998231,0.7097810964803407,0.7306228236692631,0.014410247660189118
8,6.124295854568482,1.6347597395703934,0.2801504135131836,0.015738221260869344,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.7315972462066267,0.6882142555624631,0.7198876092259237,0.7230447401735265,0.7188455244388181,0.7163109877699819,0.014759638305419445,228,0.7560418066766391,0.7197114770841313,0.7491244628916583,0.7268636913799043,0.7209148496866348,0.7345312575437937,0.0150962869143655
9,6.923098516464234,1.7827813728806394,0.2653761386871338,0.010399436478420381,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.7162357148887508,0.7257795890799966,0.7205205792447587,0.7303007379504121,0.7278383301942137,0.7241316311542394,0.005097717795213302,91,0.7688885195435857,0.7619760616067967,0.7375284068495865,0.7298448471273724,0.7322092783842397,0.7460894227023162,0.016137036572991457
10,6.779634714126587,1.2570687236844222,0.27284841537475585,0.020346280049267945,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.7162357148887508,0.7257795890799966,0.7205205792447587,0.7303007379504121,0.7278383301942137,0.7241316311542394,0.005097717795213302,91,0.7688885195435857,0.7619760616067967,0.7375284068495865,0.7298448471273724,0.7322092783842397,0.7460894227023162,0.016137036572991457
