,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.2132864952087403,0.10163927317429604,0.24383139610290527,0.010362423815931871,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.5517333741486187,0.5777467411545624,0.5846135940409682,0.5402312228429547,0.5595349563046194,0.5627657612982204,0.016383882153357267,237,0.5662368881118881,0.5610714544970601,0.5607762479734798,0.5697582694122486,0.5680467224681526,0.5651779164925659,0.003648803019001843
1,1.365372323989868,0.25113600292950505,0.26117639541625975,0.029678693628650603,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.5573199663273897,0.566651148355059,0.5513268156424581,0.5249844816883923,0.5719413233458178,0.5544330965881433,0.016369695459607512,276,0.5506361693861694,0.5386889926682313,0.5521620248263847,0.545940910300772,0.6001889582648703,0.5575234110892855,0.021842239438777677
2,1.8587674140930175,0.19392279609334429,0.23558454513549804,0.03604559004739171,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.6364506007499809,0.5791045934202359,0.559629112352576,0.6026536312849161,0.5608614232209739,0.5878001026260784,0.02894458796594457,170,0.6307376651126652,0.5838943063856559,0.568395963897694,0.6343262274058122,0.5891728364037038,0.6013053998411062,0.026419725725540896
3,1.538926935195923,0.4207423724257569,0.2525462627410889,0.038754505823695676,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.6161705058544424,0.6290735567970206,0.6484714463066419,0.569366852886406,0.6271847690387018,0.6180446498713164,0.026471456328296943,65,0.6005973193473193,0.6436397512522081,0.6022261475548671,0.585329203668304,0.6511424484351743,0.6165869740515746,0.02594179704147671
4,1.6312100887298584,0.14583361204638443,0.2557267189025879,0.0630391963452506,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.6022040254075152,0.6027312228429547,0.5860490378646804,0.569366852886406,0.5567259675405742,0.5834516588047344,0.01811794075152718,174,0.6127500971250972,0.6036247489534687,0.5698308611803421,0.5840031940377961,0.5974584871740349,0.5935334776941479,0.015094093239220448
5,1.8040649890899658,0.3513144310990089,0.24526386260986327,0.023050446146602524,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.5981480064284075,0.631866852886406,0.6594894475481068,0.5776691495965239,0.49851747815230973,0.5932175737974712,0.05492588849648504,160,0.6155230186480186,0.6447068502431823,0.6585476806930094,0.5856607060759311,0.5356024434091744,0.6080081398138631,0.04404431089223935
6,1.3444491386413575,0.07217702748053194,0.3133188247680664,0.026520615990816166,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.5844493762914212,0.576388888888889,0.5693668528864059,0.5470980757293606,0.5387016229712859,0.5632374157465563,0.017449103878012764,233,0.5682376651126652,0.5494011179132287,0.5680644614900668,0.56791927795388,0.5784587578047978,0.5664162560549277,0.009410950656734814
7,2.0049935817718505,0.29537844617704756,0.2454617977142334,0.024045419002940986,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.6171653784342237,0.6262802607076351,0.6317892613283674,0.5859714463066419,0.609472534332085,0.6141419059780473,0.016020222076844937,78,0.6168973387723388,0.6554552713722264,0.6049870544680234,0.6347303215815328,0.6295693104714774,0.6283278593331197,0.01705215047876187
8,2.3684957027435303,0.6358998846273227,0.25786685943603516,0.024476922333430667,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.600941302517793,0.5857386716325264,0.6526225946617008,0.6137492240844197,0.5636704119850188,0.603374138897035,0.02973250838881352,117,0.5981619075369076,0.5642824303723958,0.6312701139690757,0.6599825779756576,0.5967287506524136,0.6100851561012901,0.03273225399085009
9,1.8827997207641602,0.19031484065196067,0.24448738098144532,0.05629934469915291,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.5912986913599144,0.560909373060211,0.5623448168839229,0.513888888888889,0.5691323345817728,0.5595324833906218,0.02529049229380565,241,0.593652874902875,0.5760568151571611,0.5804703946572458,0.5255837588017519,0.6092043455568227,0.5769936378151713,0.028181557829787537
10,1.955740213394165,0.6427640522062263,0.23698391914367675,0.029159010859421672,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.6473559347975818,0.5193978895096213,0.5166045934202359,0.573518001241465,0.5843476903870164,0.5682950276436228,0.048212657743568185,196,0.671054292929293,0.513032642098386,0.5161976431872625,0.634362523289859,0.6316014575399664,0.5932497118089535,0.06570612157725347
