,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,4.149900197982788,1.4493997559343026,0.0126922607421875,0.0014291940615058243,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.5872034568242347,0.5608589870522592,0.5902677000030875,0.5583953438107883,0.5942121839009479,0.5781830699655459,0.015334779739374778,212,0.6182857239208092,0.5860857186215069,0.6042649240591824,0.5932990623093782,0.5731746975548461,0.5950220252931446,0.015406250414138015
1,4.92786602973938,0.5384187093268415,0.02187967300415039,0.014116509020027795,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.6409899227126553,0.6745066887706938,0.6342205205792446,0.6310325130453577,0.6659616512798344,0.6493512883285391,0.01756905174410152,184,0.6665421330654777,0.6492249770564303,0.6596460136121967,0.6569193409033619,0.6606908853700635,0.658604670001506,0.005643739626956584
2,5.021338939666748,1.6896343330569026,0.012253046035766602,0.0008387700476112493,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.6742726009839363,0.6896111072736065,0.6626501374008088,0.6027341217155031,0.6764365331768919,0.6611632427030801,0.030424475566204208,167,0.6965106503929914,0.6993655290028399,0.6705854168230125,0.6158470292352424,0.6908031080605217,0.6746223467029215,0.031061148379121786
3,4.963902139663697,2.762205972881886,0.013294744491577148,0.0020848572238418386,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.6842808132439963,0.6335681886210311,0.6517352641491955,0.6986522370086763,0.6764982863494612,0.6689361926145988,0.02333889732145774,163,0.6922066535147623,0.6411897896899669,0.6277519285869599,0.7138946776965098,0.7156226608246211,0.678133142062564,0.03683881954760232
4,4.468170070648194,0.8075738843290123,0.01301264762878418,0.0006243612049250967,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.69829154290714,0.6967795660549685,0.7151557723778057,0.6907323926266712,0.6995322197177881,0.7000955460577599,0.008108407717339132,107,0.708386386574459,0.7097196428270331,0.7167016881510002,0.702211549007949,0.7087833690283077,0.7091605271177499,0.004608938243922792
5,8.092995738983154,3.482090968535066,0.014316940307617187,0.001787990631277471,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.7122101724574614,0.6935445495920733,0.7288495383950349,0.6989687220180937,0.6948312594559545,0.705677837119106,0.013334397536961785,93,0.7414851053477186,0.7299499697698898,0.7227039279865917,0.7042546292821943,0.7034709754637941,0.7203729215700376,0.014753663107537694
6,5.497962999343872,1.7649836291880368,0.012918758392333984,0.0005677781437246921,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.7079965922958256,0.7075322542270115,0.7050282520764504,0.7134189643992961,0.7167613548646061,0.7101449238945378,0.004290687121057141,78,0.7364346294944707,0.7028360901748529,0.7127689871286425,0.7503838893475034,0.7239830780805917,0.7252813348452123,0.016831919370013645
7,4.6254936218261715,0.8903932832714669,0.016286945343017577,0.00309507005450484,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 9}",0.7123022725702839,0.7132347862126132,0.7338669836662858,0.7482863494612035,0.7019637508877018,0.7219209872071277,0.016751376551301746,33,0.7371230570229003,0.731167123129286,0.7376693587027426,0.7348291548084305,0.70565452652685,0.7292886440380418,0.012036709342127585
8,6.8261330127716064,2.438854407697824,0.017846202850341795,0.006099480984120828,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 10}",0.7240795744974788,0.7246628752120222,0.7295442615864388,0.7313736993238028,0.7602433074999229,0.733970421906673,0.013420768650561429,3,0.7726346444288678,0.7419996194137527,0.7392636059428763,0.7216253817245578,0.758637029254485,0.7468320561529078,0.017442140183040387
9,5.433903408050537,3.7497178506443714,0.014305734634399414,0.0014695797745859832,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.725150238309042,0.7426300722218386,0.722728255164109,0.7252524160928767,0.7074211875135085,0.7246463734106563,0.01117693372177815,25,0.7631209517546713,0.7728157842124154,0.7245593931661924,0.7180145127491672,0.7269979083322268,0.7411017100429346,0.02234374031004688
10,6.811270713806152,2.6256413931835936,0.01675095558166504,0.006270966466233071,0.1,"(50, 50)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 12}",0.7327139600746012,0.7254303761522108,0.7248433013246055,0.7187220180936796,0.7577500231574396,0.7318889070090068,0.013662419902438713,10,0.7787789444271817,0.7618601995909903,0.7249745516961366,0.7143901739721097,0.7521792214839488,0.7464366182340734,0.02368326543133064
