iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.135493776014,0.13779831122,0.13505323094,0.414218566392,0.419014084507,0.407894736842,0.237767584098,0.275256222548,0.227941176471,0.004118702
10,0.138371502619,0.14018301977,0.13793343461,0.390129259694,0.387323943662,0.390977443609,0.121827411168,0.127090301003,0.112328767123,0.038767104
20,0.137747053086,0.140057131622,0.138322574226,0.389835487662,0.383802816901,0.386278195489,0.0805666223993,0.070796460177,0.0631276901004,0.074384909
30,0.139610445522,0.142325060141,0.139962229015,0.387779083431,0.37323943662,0.383458646617,0.0795053003534,0.0631578947368,0.0681818181818,0.109492021
40,0.139404879157,0.142672088348,0.139699456318,0.395417156287,0.384976525822,0.389097744361,0.183333333333,0.162939297125,0.155844155844,0.144212824
50,0.147429150985,0.150252244091,0.148843939309,0.385722679201,0.37558685446,0.37969924812,0.142681426814,0.119205298013,0.103260869565,0.179461132
60,0.146641236434,0.147952658634,0.149724249194,0.403936545241,0.414319248826,0.392857142857,0.142796789185,0.158516020236,0.112637362637,0.215267436
70,0.146047373021,0.147370932677,0.148919558177,0.398061104583,0.409624413146,0.395676691729,0.136536030341,0.154621848739,0.117969821674,0.251391611
80,0.138841985946,0.140553650441,0.141599165542,0.448002350176,0.43661971831,0.437030075188,0.340007024939,0.316239316239,0.294464075383,0.287626183
90,0.138025181537,0.139419014039,0.140173010861,0.433901292597,0.44014084507,0.425751879699,0.305585585586,0.311688311688,0.268263473054,0.321822772
100,0.131974344147,0.133659751105,0.133321162715,0.444183313749,0.441314553991,0.434210526316,0.392030848329,0.388174807198,0.358208955224,0.355804525
110,0.131296282437,0.13294027813,0.132284922224,0.450058754407,0.443661971831,0.440789473684,0.413533834586,0.404522613065,0.378265412748,0.390469543
120,0.130703092375,0.132518589606,0.131545252836,0.436839012926,0.431924882629,0.440789473684,0.42997323818,0.442396313364,0.431709646609,0.425594835
130,0.126697051625,0.128642094409,0.127076260769,0.496474735605,0.485915492958,0.493421052632,0.566734074823,0.564612326044,0.555647155812,0.460240984
140,0.123446703847,0.124792714539,0.123462703339,0.5455346651,0.519953051643,0.553571428571,0.642807665666,0.629864253394,0.64096749811,0.494979698
150,0.121066142073,0.122629177551,0.120847217332,0.58401880141,0.573943661972,0.593045112782,0.708761826409,0.703673469388,0.711140760507,0.529371843
160,0.120076420243,0.121696191884,0.119916184053,0.59518213866,0.583333333333,0.607142857143,0.717969709374,0.709730171709,0.723178807947,0.562073809
170,0.119697173522,0.120909222926,0.119674143401,0.599001175088,0.573943661972,0.605263157895,0.71473354232,0.695725062867,0.714673913043,0.595298672
180,0.116373806086,0.117560749144,0.115649648759,0.630728554642,0.62676056338,0.638157894737,0.769906644701,0.766862170088,0.772593030124,0.627572544
190,0.116259320753,0.116835273324,0.115313087879,0.628965922444,0.630281690141,0.640977443609,0.769061985738,0.769568397952,0.774498229044,0.66009877
